account,sale_month,gained_locations,lost_locations,net_location_change
IDA,2024-10-01 00:00:00,0,1,-1
HOWARD,2024-10-01 00:00:00,0,1,-1
MARSHALL,2024-10-01 00:00:00,4,5,-1
RINGGOLD,2024-10-01 00:00:00,0,1,-1
WAYNE,2024-10-01 00:00:00,1,0,1
BUTLER,2024-10-01 00:00:00,0,1,-1
SAC,2024-10-01 00:00:00,0,1,-1
TAYLOR,2024-10-01 00:00:00,0,1,-1
BREMER,2024-10-01 00:00:00,2,1,1
KOSSUTH,2024-10-01 00:00:00,1,2,-1
WEBSTER,2024-10-01 00:00:00,3,4,-1
HARRISON,2024-10-01 00:00:00,2,1,1
SCOTT,2024-10-01 00:00:00,18,17,1
MONTGOMERY,2024-10-01 00:00:00,2,1,1
MAHASKA,2024-10-01 00:00:00,2,1,1
CHEROKEE,2024-10-01 00:00:00,2,1,1
APPANOOSE,2024-10-01 00:00:00,0,1,-1
FREMONT,2024-10-01 00:00:00,0,1,-1
CHICKASAW,2024-10-01 00:00:00,0,1,-1
MITCHELL,2024-10-01 00:00:00,1,0,1
VAN BUREN,2024-10-01 00:00:00,1,0,1
,2024-10-01 00:00:00,0,1,-1
MARION,2024-10-01 00:00:00,3,4,-1
ADAIR,2024-10-01 00:00:00,2,1,1
GUTHRIE,2024-10-01 00:00:00,2,1,1
GRUNDY,2024-10-01 00:00:00,0,1,-1
FRANKLIN,2024-10-01 00:00:00,0,1,-1
MONROE,2024-10-01 00:00:00,0,1,-1
O'BRIEN,2024-10-01 00:00:00,0,1,-1
JACKSON,2024-10-01 00:00:00,1,2,-1
CLAYTON,2024-10-01 00:00:00,1,2,-1
ALLAMAKEE,2024-10-01 00:00:00,2,3,-1
LYON,2024-10-01 00:00:00,2,1,1
IOWA,2024-10-01 00:00:00,5,6,-1
MADISON,2024-10-01 00:00:00,0,1,-1
WRIGHT,2024-10-01 00:00:00,3,2,1
PAGE,2024-10-01 00:00:00,3,2,1
MUSCATINE,2024-10-01 00:00:00,5,4,1
GREENE,2024-10-01 00:00:00,1,1,0
HARDIN,2024-10-01 00:00:00,4,4,0
HANCOCK,2024-10-01 00:00:00,1,1,0
HAMILTON,2024-10-01 00:00:00,2,2,0
DELAWARE,2024-10-01 00:00:00,0,0,0
POCAHONTAS,2024-10-01 00:00:00,1,1,0
DICKINSON,2024-10-01 00:00:00,2,2,0
JONES,2024-10-01 00:00:00,2,2,0
SHELBY,2024-10-01 00:00:00,1,1,0
CLAY,2024-10-01 00:00:00,0,0,0
OSCEOLA,2024-10-01 00:00:00,0,0,0
AUDUBON,2024-10-01 00:00:00,1,1,0
HENRY,2024-10-01 00:00:00,2,2,0
EMMET,2024-10-01 00:00:00,1,1,0
POTTAWATTAMIE,2024-10-01 00:00:00,13,13,0
UNION,2024-10-01 00:00:00,3,3,0
WORTH,2024-10-01 00:00:00,1,1,0
FLOYD,2024-10-01 00:00:00,1,1,0
MONONA,2024-10-01 00:00:00,1,1,0
POWESHIEK,2024-10-01 00:00:00,5,5,0
WINNESHIEK,2024-10-01 00:00:00,2,2,0
DUBUQUE,2024-09-01 00:00:00,16,3,13
POLK,2024-09-01 00:00:00,44,56,-12
BLACK HAWK,2024-09-01 00:00:00,21,11,10
LINN,2024-09-01 00:00:00,21,29,-8
MUSCATINE,2024-09-01 00:00:00,2,8,-6
MARSHALL,2024-09-01 00:00:00,6,1,5
POTTAWATTAMIE,2024-09-01 00:00:00,13,8,5
STORY,2024-09-01 00:00:00,7,12,-5
WOODBURY,2024-09-01 00:00:00,11,7,4
MITCHELL,2024-09-01 00:00:00,0,4,-4
JASPER,2024-09-01 00:00:00,3,7,-4
CEDAR,2024-09-01 00:00:00,4,0,4
CASS,2024-09-01 00:00:00,4,1,3
WASHINGTON,2024-09-01 00:00:00,2,5,-3
HAMILTON,2024-09-01 00:00:00,1,4,-3
SAC,2024-09-01 00:00:00,0,3,-3
CARROLL,2024-09-01 00:00:00,3,0,3
KEOKUK,2024-09-01 00:00:00,3,0,3
PAGE,2024-09-01 00:00:00,0,3,-3
IOWA,2024-09-01 00:00:00,7,4,3
CALHOUN,2024-09-01 00:00:00,3,0,3
CLINTON,2024-09-01 00:00:00,7,5,2
IDA,2024-09-01 00:00:00,2,0,2
GREENE,2024-09-01 00:00:00,0,2,-2
HANCOCK,2024-09-01 00:00:00,2,0,2
JEFFERSON,2024-09-01 00:00:00,0,2,-2
ADAIR,2024-09-01 00:00:00,0,2,-2
MILLS,2024-09-01 00:00:00,3,1,2
LUCAS,2024-09-01 00:00:00,2,0,2
CRAWFORD,2024-09-01 00:00:00,0,2,-2
PALO ALTO,2024-09-01 00:00:00,0,2,-2
LEE,2024-09-01 00:00:00,5,3,2
MONONA,2024-09-01 00:00:00,2,0,2
WRIGHT,2024-09-01 00:00:00,3,1,2
WINNESHIEK,2024-09-01 00:00:00,1,3,-2
PLYMOUTH,2024-09-01 00:00:00,2,4,-2
ALLAMAKEE,2024-09-01 00:00:00,0,2,-2
FAYETTE,2024-09-01 00:00:00,1,3,-2
DALLAS,2024-09-01 00:00:00,8,9,-1
BREMER,2024-09-01 00:00:00,1,2,-1
